[时间]:2022-04-29 10:59:00,238-[级别]:INFO-[文件]:api_tool_headers.py-[信息]:【读取token成功：Bearer a3ca7b79-eb7d-4f12-adf3-99474d5946ee】
[时间]:2022-04-29 11:00:22,697-[级别]:INFO-[文件]:api_tool_headers.py-[信息]:【读取token成功：Bearer a3ca7b79-eb7d-4f12-adf3-99474d5946ee】
[时间]:2022-04-29 12:29:39,844-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:29:39,845-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: get】
[时间]:2022-04-29 12:29:39,845-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app】
[时间]:2022-04-29 12:29:39,845-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:29:39,845-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'id': 2500, 'pageSize': 10, 'pageNo': 1}】
[时间]:2022-04-29 12:29:39,845-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:03,964-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:03,964-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: get】
[时间]:2022-04-29 12:30:03,964-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app】
[时间]:2022-04-29 12:30:03,964-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:03,965-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'id': 2500, 'pageSize': 10, 'pageNo': 1}】
[时间]:2022-04-29 12:30:03,965-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,108-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,109-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,109-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2716/enable】
