"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 17 03:26:28 CST 2022","Sun Jul 17 03:26:28 CST 2022","18","testCase.api","test_excel","TestExcel","","","test_004算子删除","test_004算子删除 delete http://192.168.0.115:10007/kube/v1/api/operator"
"passed","Sun Jul 24 03:29:43 CST 2022","Sun Jul 24 03:29:43 CST 2022","16","testCase.api","test_excel","TestExcel","","","test_007修改算子分组名称","test_007修改算子分组名称 patch http://192.168.0.115:10007/kube/v1/api/operator/group"
"passed","Sun Jul 24 03:29:43 CST 2022","Sun Jul 24 03:29:43 CST 2022","0","testCase.api","test_excel","TestExcel","","","test_005节点全部查询","test_005节点全部查询 get http://192.168.0.115:10007/kubecluster/v1/api/node"
"passed","Sun Jul 17 03:26:28 CST 2022","Sun Jul 17 03:26:28 CST 2022","8","testCase.api","test_excel","TestExcel","","","test_002节点查询","test_002节点查询 get http://192.168.0.115:10007/kubecluster/v1/api/node"
"passed","Sun Jul 17 03:26:29 CST 2022","Sun Jul 17 03:26:29 CST 2022","39","testCase.api","test_excel","TestExcel","","","test_005节点全部查询","test_005节点全部查询 get http://192.168.0.115:10007/kubecluster/v1/api/node"
"failed","Sun Jul 24 03:29:42 CST 2022","Sun Jul 24 03:29:42 CST 2022","31","testCase.api","test_excel","TestExcel","","","test_004算子删除","test_004算子删除 delete http://192.168.0.115:10007/kube/v1/api/operator"
"passed","Sun Jul 24 03:29:42 CST 2022","Sun Jul 24 03:29:42 CST 2022","16","testCase.api","test_excel","TestExcel","","","test_001节点查询","test_001节点查询 get http://192.168.0.115:10007/kubecluster/v1/api/node"
"passed","Sun Jul 17 03:26:29 CST 2022","Sun Jul 17 03:26:29 CST 2022","9","testCase.api","test_excel","TestExcel","","","test_007修改算子分组名称","test_007修改算子分组名称 patch http://192.168.0.115:10007/kube/v1/api/operator/group"
"failed","Sun Jul 24 03:29:43 CST 2022","Sun Jul 24 03:29:43 CST 2022","16","testCase.api","test_excel","TestExcel","","","test_006镜像资源-我的仓库（已存在）","test_006镜像资源-我的仓库（已存在） post http://192.168.0.115:10007/kuberegistry/v1/api/repository"
"failed","Sun Jul 17 03:26:29 CST 2022","Sun Jul 17 03:26:29 CST 2022","11","testCase.api","test_excel","TestExcel","","","test_006镜像资源-我的仓库（已存在）","test_006镜像资源-我的仓库（已存在） post http://192.168.0.115:10007/kuberegistry/v1/api/repository"
"passed","Sun Jul 24 03:29:42 CST 2022","Sun Jul 24 03:29:42 CST 2022","0","testCase.api","test_excel","TestExcel","","","test_002节点查询","test_002节点查询 get http://192.168.0.115:10007/kubecluster/v1/api/node"
"passed","Sun Jul 24 03:29:42 CST 2022","Sun Jul 24 03:29:42 CST 2022","16","testCase.api","test_excel","TestExcel","","","test_003节点详情","test_003节点详情 get http://192.168.0.115:10007/kubecluster/v1/api/node/9"
"passed","Sun Jul 17 03:26:28 CST 2022","Sun Jul 17 03:26:28 CST 2022","9","testCase.api","test_excel","TestExcel","","","test_001节点查询","test_001节点查询 get http://192.168.0.115:10007/kubecluster/v1/api/node"
"passed","Sun Jul 17 03:26:28 CST 2022","Sun Jul 17 03:26:28 CST 2022","42","testCase.api","test_excel","TestExcel","","","test_003节点详情","test_003节点详情 get http://192.168.0.115:10007/kubecluster/v1/api/node/9"
